#Name	RA_deg	DEC_deg	RA_(J2000)	DEC_(J2000)	Redshift	Dist_[Mpc]	BAT_Type	BAT_flux	N_H	N_H Ref	Morphology	Stellar Mass	SDSS_u_petro	SDSS_u_petro_err	SDSS_g_petro	SDSS_g_petro_err	SDSS_r_petro	SDSS_r_petro_err	SDSS_i_petro	SDSS_i_petro_err	SDSS_z_petro	SDSS_z_petro_err	SDSS_u_Koss	SDSS_g_Koss	SDSS_r_Koss	SDSS_i_Koss	SDSS_z_Koss	griz_cont	GALEX_FUV	GALEX_FUV_err	GALEX_NUV	GALEX_NUV_err	E(B-V)_galactic	E(B-V)_calzetti	J_2MASS	J_2MASS_err	H_2MASS	H_2MASS_err	K_2MASS	K_2MASS_err	2MASS_cat	W1	W1_err	W1_extended?	W2	W2_err	W2_extended?	W3	W3_err	W3_extended?	W4	W4_err	W4_extended?	Asmus_12	Asmus_12_err	Asmus_18	Asmus_18_err	IRAC1	IRAC1_err	IRAC2	IRAC2_err	IRAC3	IRAC3_err	IRAC4	IRAC4_err	H_70	H_70_err	H_160	H_160_err	H_250	H_250_err	H_350	H_350_err	H_500	H_500_err	PAH 11.25	NeII	OIV	NeII_SFR	1.4GHz	1.4GHz_err	5GHz	5GHz_err	SUMSS_36cm	SUMSS_36cm_err	100GHz	100GHz_err	22GHz	22GHz_err	P857	P857_err	P545	P545_err	P353	P353_err	P217	P217_err	P143	P143_err	P100	P100_err	P70	P70_err	P44	P44_err	P30	P30_err	A9	A9_err	A18	A18_err	A65	A65_err	A90	A90_err	A140	A140_err	A160	A160_err	IP_dist	IP12	IP12_err	IP25	IP25_err	IP60	IP60_err	IP100	IP100_err	IF_dist	IF12	IF12_err	IF25	IF25_err	IF60	IF60_err	IF100	IF100_err	ILGA_12	ILGA_12_err	ILGA_25	ILGA_25_err	ILGA_60	ILGA_60_err	ILGA_100	ILGA_100_err
1RXSJ044154.5-082639	70.47541667	-8.442777778	04h41m54.1s	-08d26m34s	0.044	194.7667351	Sy 1	1.02E-11				0																	0	0	0	0	0.1017		14.128	0.05	13.36	0.057	12.7	0.07	XSC	0.007003786	0.000380322	FALSE	0.008013494	0.000429609	FALSE	0.021756687	0.003293145	FALSE	0.054910279	0.008510991	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0.175836701	0.012375183	0.149144382	0.02416791	0.061929142	0.007481776	0	0.103439352	0	0.036700499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.318237	0	0	0	0	0.856	0.14552	0	0	61.526244	0	0	0	0	0.733	0.10995	0	0	0	0	0	0	0	0	0	0
1RXSJ045205.0+493248	73.02083333	49.54583333	04h52m05.0s	+49d32m45s	0.029	126.9623967	Sy 1	6.32E-11				10.1											14.55	14.06	13.69	13.44	13.5	Y	0	0	0	0	0.6297	0	12.54	0.031	11.563	0.033	10.782	0.03	XSC	0.01892051	0.000951786	TRUE	0.028094541	0.001506167	FALSE	0.084955747	0.012797299	FALSE	0.173321982	0.026185234	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0.354012267	0.021067984	0.785290049	0.086103475	0.361838457	0.070976728	0	0.198767021	0	0.111287861	0	0	0	0	0.0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2E1739.1-1210	265.4804167	-12.19916667	17h41m55.3s	-12d11m57s	0.037	162.94605	Sy 1	4.45E-11				0																	0	0	0	0	0.5076		13.416	0.05	12.363	0.05	11.287	0.037	PSC	0.037508771	0.001998666	FALSE	0.047535924	0.002518165	FALSE	0.11117132	0.016746279	FALSE	0.236403361	0.035744479	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0.560790044	0.028472565	0.780962759	0.114451571	0.526013495	0.092948738	0	0.237344943	0	0.088352857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1825	0.0112	0	0	0.8959	0.018	0	0	0	0	17.080054	0	0	0	0	0.529	0.05819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MASSJ07594181-3843560	119.92375	-38.7325	07h59m41.7s	-38d43m57s	0.04	176.5453557	Sy 1.2	5.06E-11				0																	0	0	20.39404	0.2641078	0.699		13.56	0.039	12.465	0.04	11.345	0.024	PSC	0.039024095	0.002119103	FALSE	0.051739465	0.002756952	FALSE	0.095058895	0.014311421	FALSE	0.168753833	0.025691362	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0.04609023	0.007046019	0	0.121242967	0	0.042263747	0	0.068341727	0	0.119671078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08931	0.00818	0	0	0	0	0	0	0	0	0	0	3.764955	0	0	0.241	0.0241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MASSJ17485512-3254521	267.2295833	-32.91444444	17h48m55.1s	-32d54m52s	0.02	86.97319195	Sy 1	3.67E-11				0																	0	0	0	0	1.3915		0	13.644	0	12.646	12.438	0.063	PSC	0.005798729	0.000698568	FALSE	0.003939326	0.000332991	FALSE	0.013790905	0.002110675	FALSE	0.027621906	0.004538666	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140112738	0	0.239512365	0	0.555283344	0	0.380463794	0	0.2058444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MASXiJ1802473-145454	270.6970833	-14.91527778	18h02m47.3s	-14d54m55s	0.0034	14.59966892	Sy 1	4.03E-11				0																	0	0	0	0	1.0814		13.179	0.071	12.019	0.085	10.939	0.041	PSC	0.039713013	0.00248833	FALSE	0.046411108	0.0025548	FALSE	0.098082779	0.014792353	FALSE	0.184694366	0.028150378	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	1.203153282	0.06306373	1.871991156	0.228676761	0	0.857075445	0	0.671631338	0	0.405370258	0	0	0	0	0.0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MASXJ00253292+6821442	6.387083333	68.36222222	00h25m32.9s	+68d21m44s	0.012	51.86889568	Sy 2	1.82E-11			M	10.05											0	12.86	12.14	11.85	11.9		0	0	0	0	0.8966	0.0256	11.412	0.027	10.447	0.028	10.045	0.034	XSC	0.024850369	0.001349435	FALSE	0.025740794	0.001363591	FALSE	0.079651281	0.012005212	FALSE	0.168909333	0.025686665	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0.290402993	0.015439215	0.30293841	0.023994908	0	0.253509914	0	0.32480729	0	0.28684005	0	0	0	0	0.0174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07498	0.00752	0.2161	0.0219	0	0	0	0	0	0	0	0	17.324168	0	0	0.205	0.0328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MASXJ01064523+0638015	16.68875	6.633888889	01h06m45.3s	+06d38m02s	0.041	181.0911818	Sy 2	1.55E-11			S	10.4	17.59337	0.06213571	15.50938	0.004337016	14.82905	0.003633302	14.35234	0.003477438	14.20604	0.01070348	16.9	15.54	14.76	14.27	14.15		19.50030708	0.120992318	19.18173027	0.062698632	0.0323	0.12	13.221	0.036	12.477	0.039	12.306	0.072	XSC	0.005061605	0.000254621	TRUE	0.006596892	0.000353664	FALSE	0.039616069	0.005978595	FALSE	0.117281069	0.017855064	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0.149982425	0.010705186	0	0.097260099	0.03397652	0.006193888	0	0.07876168	0	0.06509921	0	0	0	0	0.0313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.318833	0.423	0.0423	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MASXJ01073963-1139117	16.915	-11.65333333	01h07m39.6s	-11d39m12s	0.047459	210.6053425	Sy 2 Double Source	1.05E-11				0																	19.76487732	0.136242911	19.37403107	0.076568276	0.0254		12.94	0.029	12.146	0.034	11.761	0.051	XSC	0.007275926	0.000366012	TRUE	0.008312648	0.000418163	TRUE	0.043478182	0.00657072	FALSE	0.139710137	0.021489308	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0.490827689	0.03326225	0.715240255	0.059986978	0.313315118	0.031036575	0.139717696	0.018870492	0	0.050182172	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.227812	0	0	0	0	0.53	0.053	0	0	39.723135	0	0	0	0	0.486	0.05346	0	0	0	0	0	0	0	0	0	0
2MASXJ03305218+0538253	52.7175	5.640555556	03h30m52.2s	+05d38m26s	0.046	203.91543	Sy 1	1.10E-11				10.02	16.98841	0.009117907	16.21383	0.003751197	15.92638	0.004682307	15.50098	0.004439933	15.31783	0.007391623	15.65	15.46	15.44	15.04	15.15	Y	18.93780899	0.126532927	18.4725914	0.058856882	0.2184	0	13.914	0.069	13.181	0.073	12.477	0.076	XSC	0.007696412	0.000417934	FALSE	0.012512364	0.000670796	FALSE	0.06395454	0.009645303	FALSE	0.227419614	0.03451252	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0.222437491	0.015765822	0.130274019	0.019527727	0	0.120156808	0	0.193844202	0	0.088274334	0	0	0	0	0.00392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1604	0.0186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
